ProductID,ProductName,Category,Brand,MRP
PRODKCP12PXUK5,Commodi Item,Cleaning,Britannia,1219.66
PRODRDSHHHAOYY,Eius Item,Vegetables,Nestle,295.99
PRODK0K0UTI9GA,Reiciendis Item,Cleaning,Pepsi,1247.74
PRODX0LZG8V956,Optio Item,Beverages,Local,945.51
PRODBP30H7B1BC,Ipsum Item,Dairy,Local,863.38
PRODUCNEG83KRP,Assumenda Item,Snacks,Dabur,1148.18
PRODQ0YT2A4OY8,Ratione Item,Personal Care,Pepsi,376.6
PRODHD951XOTIE,Consequuntur Item,Cleaning,CocaCola,929.87
PROD0FH474VD25,Nisi Item,Fruits,Britannia,375.76
PRODTMAY24QAKW,Architecto Item,Frozen,Britannia,285.71
PRODCEO51O5D7W,Magnam Item,Fruits,Amul,942.56
PROD0545RY69BM,Provident Item,Personal Care,Britannia,418.54
PROD0CXRE2YRUK,Quos Item,Beverages,Pepsi,1077.28
PROD2ANMQ55Y4G,Blanditiis Item,Beverages,Britannia,781.44
PRODNW480LXPGW,Sint Item,Dairy,Dabur,1048.53
PRODAF559R9OAM,Veniam Item,Fruits,Haldirams,1339.6
PRODFJ0RGFNRSD,In Item,Personal Care,Britannia,224.6
PRODT50SYCLD3P,Natus Item,Vegetables,CocaCola,118.77
PRODGMZHDDBQ5H,Laboriosam Item,Frozen,Britannia,611.88
PRODN4LC0W21PN,Beatae Item,Personal Care,CocaCola,1080.73
PRODTXRIHQL4X6,Exercitationem Item,Vegetables,Pepsi,1331.5
PRODY8T6835D7R,Repudiandae Item,Personal Care,CocaCola,71.5
PRODFSWWPL7KMG,Nesciunt Item,Personal Care,Haldirams,1193.58
PRODIL0P77TX2Z,Consequatur Item,Personal Care,Nestle,131.62
PRODAQW85D4B7G,Doloremque Item,Personal Care,CocaCola,879.25
PROD8K6FZW7XMU,Inventore Item,Personal Care,Pepsi,529.27
PRODMC45YQOTNS,Dolore Item,Cleaning,Pepsi,46.13
PRODTVME0934C4,Ex Item,Personal Care,Nestle,163.7
PRODP6SXOEY19Q,Praesentium Item,Frozen,Haldirams,543.51
PRODV3JVACI7YN,Atque Item,Cleaning,Amul,1431.56
PROD8I8R3B34TJ,Distinctio Item,Vegetables,Britannia,249.15
PRODGQH73S04IK,Natus Item,Vegetables,CocaCola,422.53
PRODWSVDEJ3V2F,Exercitationem Item,Dairy,Amul,1491.32
PRODZT82YAAWMT,Officia Item,Personal Care,Local,731.32
PROD73PO4K6SX4,Possimus Item,Snacks,Amul,408.12
PRODWBCYQGLYWE,Iure Item,Cleaning,Pepsi,931.59
PRODPSEVIY9SCN,Consequuntur Item,Frozen,Britannia,665.33
PROD633AXIKO3B,Illum Item,Vegetables,Nestle,1290.3
PROD37G7DBJJ76,Ad Item,Dairy,Britannia,31.81
PRODGZBS39FURA,Eligendi Item,Vegetables,CocaCola,1495.23
PROD3WBXIEY5H5,Facere Item,Cleaning,Britannia,118.14
PRODU69NPUDUEA,Ipsam Item,Vegetables,Britannia,814.94
PROD4PND8289BB,Incidunt Item,Personal Care,Amul,1052.15
PRODIZCEATK172,Enim Item,Cleaning,Pepsi,833.75
PRODRX8Z7LPCB1,Consectetur Item,Snacks,Nestle,465.15
PRODYJR8JFVFNE,Nesciunt Item,Cleaning,Nestle,1286.04
PRODD3GZU29CCS,Dolor Item,Vegetables,CocaCola,657.03
PROD9IFG05PV6U,Temporibus Item,Dairy,Amul,465.04
PROD9TO0OGRGDY,Dolore Item,Cleaning,Amul,1157.13
PRODVJBAFGFWKP,Optio Item,Personal Care,Amul,235.87
PRODSP59D59NEJ,Eveniet Item,Dairy,Local,323.41
PRODNETCJQU9G6,Officiis Item,Fruits,Local,394.1
PROD522NGRBRJX,Aspernatur Item,Beverages,Britannia,663.62
PRODNM3TIXLSD5,Voluptatum Item,Vegetables,CocaCola,50.1
PROD5V1FA3S00J,Eum Item,Personal Care,Dabur,1487.83
PRODORG5KNXKHN,Id Item,Cleaning,Local,908.22
PROD385O91MOYO,Harum Item,Vegetables,Pepsi,1456.66
PRODHSMFOD5BND,Itaque Item,Dairy,Amul,1215.03
PRODWE2SN7HIZ3,Quasi Item,Vegetables,Amul,218.78
PRODRV7PG0QOPF,Voluptatum Item,Frozen,Amul,329.42
PRODXB9KI3LT0G,Exercitationem Item,Frozen,Nestle,70.98
PRODUWUK9I4EXE,Nisi Item,Cleaning,CocaCola,1254.01
PRODRTAOK31VMU,Ipsa Item,Frozen,Pepsi,898.32
PROD3IJR3L3B72,Vel Item,Personal Care,Nestle,338.3
PROD78ZAG9EA6F,Possimus Item,Dairy,Local,1455.73
PRODWGIPTZU96X,Dignissimos Item,Fruits,Pepsi,1110.37
PRODF66EAVUULV,Laudantium Item,Frozen,Haldirams,1064.17
PRODXMADX17N9K,Velit Item,Personal Care,Haldirams,415.15
PRODRZT7PDPZ89,Aliquid Item,Cleaning,Amul,483.79
PRODH7C6JF2IXU,Fugit Item,Vegetables,Nestle,1008.61
PROD6IQD1WYT61,Ut Item,Personal Care,Dabur,898.46
PRODH15ERJGWD6,Placeat Item,Personal Care,CocaCola,977.98
PRODY2L8392IWB,Error Item,Fruits,Britannia,1320.66
PRODU0VCKHA8QW,Expedita Item,Cleaning,Local,257.39
PRODP6J076QHK1,Velit Item,Fruits,Nestle,192.17
PROD6CZRM7IAVS,Deleniti Item,Frozen,Amul,855.66
PRODBAEU72GWYO,Maxime Item,Frozen,Amul,760.23
